Label,pattern_size,pattern_energy
DSC_0604_RAB471d,61,876.851552254
DSC_0604_RAB471d,66,871.785498271
DSC_0604_RAB471d,71,864.253836136
DSC_0604_RAB471d,76,854.457177326
DSC_0604_RAB471d,81,842.635875817
DSC_0604_RAB471d,86,829.041423034
DSC_0604_RAB471d,91,813.908449349
DSC_0604_RAB471d,96,797.442068610
DSC_0604_RAB471d,101,779.818365350
DSC_0604_RAB471d,106,761.193832113
DSC_0604_RAB471d,111,741.716594317
DSC_0604_RAB471d,116,721.535593254
DSC_0608_RAB471v,1,298.709307905
DSC_0608_RAB471v,6,890.648629309
DSC_0608_RAB471v,11,1007.539986232
DSC_0608_RAB471v,16,989.187105777
DSC_0608_RAB471v,21,1007.832566897
DSC_0608_RAB471v,26,1067.405571603
DSC_0608_RAB471v,31,1111.512129946
DSC_0608_RAB471v,36,1114.961942206
DSC_0608_RAB471v,41,1081.932909897
DSC_0608_RAB471v,46,1025.418333661
DSC_0608_RAB471v,51,957.170254904
DSC_0608_RAB471v,56,885.382957666
DSC_0608_RAB471v,61,815.043775755
DSC_0608_RAB471v,66,748.827681477
DSC_0608_RAB471v,71,687.935649707
DSC_0608_RAB471v,76,632.733182162
DSC_0608_RAB471v,81,583.170675475
DSC_0608_RAB471v,86,539.018275964
DSC_0608_RAB471v,91,499.973357208
DSC_0608_RAB471v,96,465.697457052
DSC_0608_RAB471v,101,435.823706678
DSC_0608_RAB471v,106,409.958646505
DSC_0608_RAB471v,111,387.687425626
DSC_0608_RAB471v,116,368.584601722
DSC_0931_RAB567v,1,99.133472082
DSC_0931_RAB567v,6,432.750487959
DSC_0931_RAB567v,11,603.712852413
DSC_0931_RAB567v,16,717.488448344
DSC_0931_RAB567v,21,808.944484141
DSC_0931_RAB567v,26,886.140476919
DSC_0931_RAB567v,31,951.200626038
DSC_0931_RAB567v,36,1004.732346384
DSC_0931_RAB567v,41,1049.771784044
DSC_0931_RAB567v,46,1091.830396296
DSC_0931_RAB567v,51,1136.613675870
DSC_0931_RAB567v,56,1187.949986134
DSC_0931_RAB567v,61,1247.084524150
DSC_0931_RAB567v,66,1313.185001263
DSC_0931_RAB567v,71,1384.326264101
DSC_0931_RAB567v,76,1458.331042862
DSC_0931_RAB567v,81,1533.239745901
DSC_0931_RAB567v,86,1607.463835534
DSC_0931_RAB567v,91,1679.765266588
DSC_0931_RAB567v,96,1749.178931243
DSC_0931_RAB567v,101,1814.933648604
DSC_0931_RAB567v,106,1876.397027703
DSC_0931_RAB567v,111,1933.040689088
DSC_0931_RAB567v,116,1984.422686671
DSC_0935_RAB567d,1,36.781131611
DSC_0935_RAB567d,6,213.780908442
DSC_0935_RAB567d,11,260.406817454
DSC_0935_RAB567d,16,265.002528510
DSC_0935_RAB567d,21,255.788319180
DSC_0935_RAB567d,26,243.524262090
DSC_0935_RAB567d,31,232.170935602
DSC_0935_RAB567d,36,222.414242526
DSC_0935_RAB567d,41,214.603994127
DSC_0935_RAB567d,46,209.330058766
DSC_0935_RAB567d,51,206.920602976
DSC_0935_RAB567d,56,207.199081489
DSC_0935_RAB567d,61,209.653044126
DSC_0935_RAB567d,66,213.698194053
DSC_0935_RAB567d,71,218.834819193
DSC_0935_RAB567d,76,224.685767037
DSC_0935_RAB567d,81,230.975837419
DSC_0935_RAB567d,86,237.499546824
DSC_0935_RAB567d,91,244.096147762
DSC_0935_RAB567d,96,250.635121143
DSC_0935_RAB567d,101,257.008605434
DSC_0935_RAB567d,106,263.128012053
DSC_0935_RAB567d,111,268.921908054
DSC_0935_RAB567d,116,274.334289584
DSC_1018_RAB659d,1,164.389415102
DSC_1018_RAB659d,6,814.794207427
DSC_1018_RAB659d,11,855.506548977
DSC_1018_RAB659d,16,856.844101885
DSC_1018_RAB659d,21,873.738895328
DSC_1018_RAB659d,26,888.115482410
DSC_1018_RAB659d,31,894.505389513
DSC_1018_RAB659d,36,891.657935295
DSC_1018_RAB659d,41,881.870369143
DSC_1018_RAB659d,46,869.499438608
DSC_1018_RAB659d,51,858.120535099
DSC_1018_RAB659d,56,849.146141759
DSC_1018_RAB659d,61,841.999024728
DSC_1018_RAB659d,66,835.016492321
DSC_1018_RAB659d,71,826.368861525
DSC_1018_RAB659d,76,814.638590558
DSC_1018_RAB659d,81,799.032141601
DSC_1018_RAB659d,86,779.351823435
DSC_1018_RAB659d,91,755.861348556
DSC_1018_RAB659d,96,729.131791880
DSC_1018_RAB659d,101,699.906724609
DSC_1018_RAB659d,106,668.998290931
DSC_1018_RAB659d,111,637.213304294
DSC_1018_RAB659d,116,605.304347462
DSC_1021_RAB659v,1,157.896270950
DSC_1021_RAB659v,6,660.787628179
DSC_1021_RAB659v,11,867.368792625
DSC_1021_RAB659v,16,1012.463571431
DSC_1021_RAB659v,21,1153.764995042
DSC_1021_RAB659v,26,1292.399787463
DSC_1021_RAB659v,31,1431.570751819
DSC_1021_RAB659v,36,1569.993896619
DSC_1021_RAB659v,41,1702.131225576
DSC_1021_RAB659v,46,1822.239974194
DSC_1021_RAB659v,51,1925.608127536
DSC_1021_RAB659v,56,2008.474241126
DSC_1021_RAB659v,61,2068.110022313
DSC_1021_RAB659v,66,2103.075339118
DSC_1021_RAB659v,71,2113.349251400
DSC_1021_RAB659v,76,2100.232712246
