Label,pattern_size,pattern_energy
DSC_0931_RAB567v,11,574.640986041
DSC_0931_RAB567v,16,680.177666171
DSC_0931_RAB567v,21,755.307523072
DSC_0931_RAB567v,26,813.614163145
DSC_0931_RAB567v,31,859.857141917
DSC_0931_RAB567v,36,894.800678549
DSC_0931_RAB567v,41,920.940719691
DSC_0931_RAB567v,46,943.446144601
DSC_0931_RAB567v,51,967.997797267
DSC_0931_RAB567v,56,998.562455009
DSC_0931_RAB567v,61,1036.544183274
DSC_0931_RAB567v,66,1081.243874232
DSC_0931_RAB567v,71,1130.865720391
DSC_0931_RAB567v,76,1183.388865383
DSC_0931_RAB567v,81,1237.046260086
DSC_0931_RAB567v,86,1290.468935602
DSC_0931_RAB567v,91,1342.649935293
DSC_0931_RAB567v,96,1392.852190905
DSC_0931_RAB567v,101,1440.518949168
DSC_0931_RAB567v,106,1485.210696399
DSC_0931_RAB567v,111,1526.565294184
DSC_0931_RAB567v,116,1564.276908791
DSC_0935_RAB567d,1,38.157196936
DSC_0935_RAB567d,6,212.680708032
DSC_0935_RAB567d,11,261.300369689
DSC_0935_RAB567d,16,267.780788166
DSC_0935_RAB567d,21,259.837033947
DSC_0935_RAB567d,26,248.495680490
DSC_0935_RAB567d,31,237.973451831
DSC_0935_RAB567d,36,229.166010856
DSC_0935_RAB567d,41,222.627897380
DSC_0935_RAB567d,46,218.990374389
DSC_0935_RAB567d,51,218.435637598
DSC_0935_RAB567d,56,220.577011887
DSC_0935_RAB567d,61,224.746296016
DSC_0935_RAB567d,66,230.295232987
DSC_0935_RAB567d,71,236.729770751
DSC_0935_RAB567d,76,243.711811710
DSC_0935_RAB567d,81,251.012364255
DSC_0935_RAB567d,86,258.466546782
DSC_0935_RAB567d,91,265.944803073
DSC_0935_RAB567d,96,273.338824008
DSC_0935_RAB567d,101,280.555598131
DSC_0935_RAB567d,106,287.515575466
DSC_0935_RAB567d,111,294.151686600
DSC_0935_RAB567d,116,300.408420571
DSC_1018_RAB659d,1,127.951406400
DSC_1018_RAB659d,6,593.472010425
DSC_1018_RAB659d,11,594.807285884
DSC_1018_RAB659d,16,561.418745057
DSC_1018_RAB659d,21,531.398555697
