Label,pattern_size,pattern_energy
DSC_0608_RAB471v,66,923.582431902
DSC_0608_RAB471v,71,845.480509451
DSC_0608_RAB471v,76,774.037798214
DSC_0608_RAB471v,81,709.224411494
DSC_0608_RAB471v,86,650.830569674
DSC_0608_RAB471v,91,598.585237594
DSC_0608_RAB471v,96,552.192467877
DSC_0608_RAB471v,101,511.331482312
DSC_0608_RAB471v,106,475.648698205
DSC_0608_RAB471v,111,444.753835023
DSC_0608_RAB471v,116,418.223615497
DSC_0931_RAB567v,1,91.193616262
DSC_0931_RAB567v,6,439.295330707
DSC_0931_RAB567v,11,624.969473595
DSC_0931_RAB567v,16,724.326184796
DSC_0931_RAB567v,21,791.782317907
DSC_0931_RAB567v,26,845.515467363
DSC_0931_RAB567v,31,891.089356878
DSC_0931_RAB567v,36,930.500885694
DSC_0931_RAB567v,41,966.227625725
DSC_0931_RAB567v,46,1001.923132573
DSC_0931_RAB567v,51,1041.210923911
DSC_0931_RAB567v,56,1086.428122074
DSC_0931_RAB567v,61,1138.189504270
DSC_0931_RAB567v,66,1195.716295538
DSC_0931_RAB567v,71,1257.477697391
DSC_0931_RAB567v,76,1321.750366223
DSC_0931_RAB567v,81,1386.943674718
DSC_0931_RAB567v,86,1451.717165487
DSC_0931_RAB567v,91,1514.978784214
DSC_0931_RAB567v,96,1575.841283630
DSC_0931_RAB567v,101,1633.573843354
DSC_0931_RAB567v,106,1687.567745645
DSC_0931_RAB567v,111,1737.313592944
DSC_0931_RAB567v,116,1782.388745352
DSC_0935_RAB567d,1,52.266450588
DSC_0935_RAB567d,6,314.979660810
DSC_0935_RAB567d,11,401.605779534
DSC_0935_RAB567d,16,424.118289357
DSC_0935_RAB567d,21,423.894914731
DSC_0935_RAB567d,26,414.469398172
DSC_0935_RAB567d,31,401.710005705
DSC_0935_RAB567d,36,388.195185595
DSC_0935_RAB567d,41,375.780133872
DSC_0935_RAB567d,46,366.092678951
DSC_0935_RAB567d,51,360.074460901
DSC_0935_RAB567d,56,357.816911928
DSC_0935_RAB567d,61,358.828356776
DSC_0935_RAB567d,66,362.399123647
DSC_0935_RAB567d,71,367.842801429
DSC_0935_RAB567d,76,374.589940035
DSC_0935_RAB567d,81,382.194748138
DSC_0935_RAB567d,86,390.310999799
DSC_0935_RAB567d,91,398.665481267
DSC_0935_RAB567d,96,407.038737403
DSC_0935_RAB567d,101,415.252384196
DSC_0935_RAB567d,106,423.161725191
DSC_0935_RAB567d,111,430.650649785
DSC_0935_RAB567d,116,437.627815548
DSC_1018_RAB659d,1,105.624699027
DSC_1018_RAB659d,6,576.028565148
DSC_1018_RAB659d,11,623.733842098
DSC_1018_RAB659d,16,642.945950957
DSC_1018_RAB659d,21,667.921746598
DSC_1018_RAB659d,26,685.828469208
DSC_1018_RAB659d,31,694.540992035
DSC_1018_RAB659d,36,694.446094693
DSC_1018_RAB659d,41,688.065562077
DSC_1018_RAB659d,46,679.057855370
DSC_1018_RAB659d,51,670.260563869
DSC_1018_RAB659d,56,662.797179603
DSC_1018_RAB659d,61,656.283459562
DSC_1018_RAB659d,66,649.525527655
DSC_1018_RAB659d,71,641.207840025
DSC_1018_RAB659d,76,630.328441825
DSC_1018_RAB659d,81,616.360455288
DSC_1018_RAB659d,86,599.230111623
DSC_1018_RAB659d,91,579.210639266
DSC_1018_RAB659d,96,556.799561269
DSC_1018_RAB659d,101,532.611151357
DSC_1018_RAB659d,106,507.294631422
DSC_1018_RAB659d,111,481.477456811
DSC_1018_RAB659d,116,455.729785245
DSC_1021_RAB659v,1,153.790375460
DSC_1021_RAB659v,6,655.839361852
DSC_1021_RAB659v,11,897.823160704
DSC_1021_RAB659v,16,1076.240314403
DSC_1021_RAB659v,21,1240.376618341
DSC_1021_RAB659v,26,1393.642855378
DSC_1021_RAB659v,31,1541.034237757
DSC_1021_RAB659v,36,1684.494515629
DSC_1021_RAB659v,41,1821.056061082
DSC_1021_RAB659v,46,1945.810492661
DSC_1021_RAB659v,51,2053.720523592
DSC_1021_RAB659v,56,2140.348088135
DSC_1021_RAB659v,61,2202.392531462
DSC_1021_RAB659v,66,2238.089311998
DSC_1021_RAB659v,71,2247.331690096
DSC_1021_RAB659v,76,2231.515004671
DSC_1021_RAB659v,81,2193.202735127
DSC_1021_RAB659v,86,2135.724406236
DSC_1021_RAB659v,91,2062.790648361
DSC_1021_RAB659v,96,1978.174108519
DSC_1021_RAB659v,101,1885.474996959
DSC_1021_RAB659v,106,1787.969899381
DSC_1021_RAB659v,111,1688.529599580
DSC_1021_RAB659v,116,1589.589705755
DSC_1023_RAB663d,1,125.088930147
DSC_1023_RAB663d,6,493.101687730
DSC_1023_RAB663d,11,571.057266288
DSC_1023_RAB663d,16,662.391128417
DSC_1023_RAB663d,21,728.302922795
DSC_1023_RAB663d,26,779.288172939
DSC_1023_RAB663d,31,822.128490828
DSC_1023_RAB663d,36,853.852457150
DSC_1023_RAB663d,41,869.687349275
DSC_1023_RAB663d,46,868.477958818
DSC_1023_RAB663d,51,852.216345916
DSC_1023_RAB663d,56,824.233711580
DSC_1023_RAB663d,61,788.004681451
DSC_1023_RAB663d,66,746.614907068
DSC_1023_RAB663d,71,702.594418552
DSC_1023_RAB663d,76,657.911809463
DSC_1023_RAB663d,81,614.031223506
DSC_1023_RAB663d,86,571.989875640
DSC_1023_RAB663d,91,532.477030749
DSC_1023_RAB663d,96,495.906299404
DSC_1023_RAB663d,101,462.477582700
DSC_1023_RAB663d,106,432.229507743
DSC_1023_RAB663d,111,405.082956687
DSC_1023_RAB663d,116,380.877500795
DSC_1024_RAB663v,1,267.143194122
