Label,pattern_size,pattern_energy
DSC_0608_RAB471v,76,822.162923362
DSC_0608_RAB471v,81,759.301678903
DSC_0608_RAB471v,86,701.976935635
DSC_0608_RAB471v,91,649.911993561
DSC_0608_RAB471v,96,602.887829932
DSC_0608_RAB471v,101,560.715405426
DSC_0608_RAB471v,106,523.201643554
DSC_0608_RAB471v,111,490.122918072
DSC_0608_RAB471v,116,461.211716269
DSC_0931_RAB567v,1,118.892639543
DSC_0931_RAB567v,6,472.140023266
DSC_0931_RAB567v,11,668.279353179
DSC_0931_RAB567v,16,775.895073729
DSC_0931_RAB567v,21,846.187764798
DSC_0931_RAB567v,26,896.632174601
DSC_0931_RAB567v,31,934.186393854
DSC_0931_RAB567v,36,961.836595171
DSC_0931_RAB567v,41,982.541063903
DSC_0931_RAB567v,46,1000.706569118
DSC_0931_RAB567v,51,1021.143018373
DSC_0931_RAB567v,56,1047.529689100
DSC_0931_RAB567v,61,1081.623073728
DSC_0931_RAB567v,66,1123.358441630
DSC_0931_RAB567v,71,1171.470911911
DSC_0931_RAB567v,76,1224.181598603
DSC_0931_RAB567v,81,1279.683105406
DSC_0931_RAB567v,86,1336.375898452
DSC_0931_RAB567v,91,1392.928074522
DSC_0931_RAB567v,96,1448.251111024
DSC_0931_RAB567v,101,1501.449777753
DSC_0931_RAB567v,106,1551.779129538
DSC_0931_RAB567v,111,1598.613865286
DSC_0931_RAB567v,116,1641.430664067
DSC_0935_RAB567d,1,53.953709745
DSC_0935_RAB567d,6,318.592456501
DSC_0935_RAB567d,11,406.327222169
DSC_0935_RAB567d,16,428.767677833
DSC_0935_RAB567d,21,428.022832952
DSC_0935_RAB567d,26,417.816721499
DSC_0935_RAB567d,31,404.195939779
DSC_0935_RAB567d,36,389.827391566
DSC_0935_RAB567d,41,376.562759690
DSC_0935_RAB567d,46,365.951873101
DSC_0935_RAB567d,51,358.854004595
DSC_0935_RAB567d,56,355.335118453
DSC_0935_RAB567d,61,354.941185844
DSC_0935_RAB567d,66,357.036721761
DSC_0935_RAB567d,71,361.018002441
DSC_0935_RAB567d,76,366.389720020
DSC_0935_RAB567d,81,372.764353005
DSC_0935_RAB567d,86,379.836010880
DSC_0935_RAB567d,91,387.354145600
DSC_0935_RAB567d,96,395.105692724
DSC_0935_RAB567d,101,402.904901203
DSC_0935_RAB567d,106,410.589260653
DSC_0935_RAB567d,111,418.018182307
DSC_0935_RAB567d,116,425.072795311
DSC_1018_RAB659d,1,115.984745214
DSC_1018_RAB659d,6,588.869992008
DSC_1018_RAB659d,11,625.549319317
DSC_1018_RAB659d,16,634.632429250
DSC_1018_RAB659d,21,655.520977051
DSC_1018_RAB659d,26,670.860879723
DSC_1018_RAB659d,31,676.978420803
DSC_1018_RAB659d,36,674.368569554
DSC_1018_RAB659d,41,665.576223705
DSC_1018_RAB659d,46,654.121350893
DSC_1018_RAB659d,51,642.809192503
DSC_1018_RAB659d,56,632.893941781
DSC_1018_RAB659d,61,624.194649342
DSC_1018_RAB659d,66,615.690439593
DSC_1018_RAB659d,71,606.157911009
DSC_1018_RAB659d,76,594.607699936
DSC_1018_RAB659d,81,580.472028215
DSC_1018_RAB659d,86,563.610062185
DSC_1018_RAB659d,91,544.220662407
DSC_1018_RAB659d,96,522.729464477
DSC_1018_RAB659d,101,499.685214617
DSC_1018_RAB659d,106,475.678531196
DSC_1018_RAB659d,111,451.284700021
DSC_1018_RAB659d,116,427.027513461
DSC_1021_RAB659v,1,211.944155296
DSC_1021_RAB659v,6,689.409579771
DSC_1021_RAB659v,11,930.447885916
DSC_1021_RAB659v,16,1089.488579444
DSC_1021_RAB659v,21,1230.901020522
DSC_1021_RAB659v,26,1367.376030178
DSC_1021_RAB659v,31,1505.555781989
DSC_1021_RAB659v,36,1644.838360615
DSC_1021_RAB659v,41,1777.481175994
DSC_1021_RAB659v,46,1895.216680042
DSC_1021_RAB659v,51,1992.139810481
DSC_1021_RAB659v,56,2064.748927613
DSC_1021_RAB659v,61,2111.457390914
DSC_1021_RAB659v,66,2132.226125106
DSC_1021_RAB659v,71,2128.296122796
DSC_1021_RAB659v,76,2101.929136616
DSC_1021_RAB659v,81,2056.117856775
DSC_1021_RAB659v,86,1994.277671447
DSC_1021_RAB659v,91,1919.956223400
DSC_1021_RAB659v,96,1836.595008526
DSC_1021_RAB659v,101,1747.361081385
DSC_1021_RAB659v,106,1655.049349155
DSC_1021_RAB659v,111,1562.043132542
DSC_1021_RAB659v,116,1470.316721151
DSC_1023_RAB663d,1,142.785492248
DSC_1023_RAB663d,6,454.486903945
DSC_1023_RAB663d,11,502.716224950
DSC_1023_RAB663d,16,603.581625559
DSC_1023_RAB663d,21,684.119985751
DSC_1023_RAB663d,26,753.345275774
DSC_1023_RAB663d,31,812.533817753
DSC_1023_RAB663d,36,855.278703194
DSC_1023_RAB663d,41,877.170085735
DSC_1023_RAB663d,46,878.567007198
DSC_1023_RAB663d,51,862.784616980
DSC_1023_RAB663d,56,834.134084303
DSC_1023_RAB663d,61,796.821327329
DSC_1023_RAB663d,66,754.458396302
DSC_1023_RAB663d,71,709.902873531
DSC_1023_RAB663d,76,665.267061811
DSC_1023_RAB663d,81,622.011478839
DSC_1023_RAB663d,86,581.072015030
DSC_1023_RAB663d,91,542.988426894
DSC_1023_RAB663d,96,508.016652050
DSC_1023_RAB663d,101,476.217947395
DSC_1023_RAB663d,106,447.525928122
DSC_1023_RAB663d,111,421.794442423
DSC_1023_RAB663d,116,398.831262882
DSC_1024_RAB663v,1,308.683137666
DSC_1024_RAB663v,6,955.865218250
DSC_1024_RAB663v,11,1049.894676029
DSC_1024_RAB663v,16,1137.026944117
DSC_1024_RAB663v,21,1264.853728739
DSC_1024_RAB663v,26,1380.295618506
